occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Parus ater","Parus ater Linnaeus, 1758","7820681","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Periparus","Periparus ater","Parus ater","Linnaeus, 1758","7820681","2487871"
,"Parus caeruleus","Parus caeruleus Linnaeus, 1758","8191482","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Cyanistes","Cyanistes caeruleus","Parus caeruleus","Linnaeus, 1758","8191482","2487879"
,"Parus cristatus","Parus cristatus Linnaeus, 1758","8203973","EXACT","100","SYNONYM","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Lophophanes","Lophophanes cristatus","Parus cristatus","Linnaeus, 1758","8203973","2487883"
,"Parus major","Parus major Linnaeus, 1758","9705453","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Paridae","Parus","Parus major","Parus major","Linnaeus, 1758","9705453",
,"Phylloscopus bonelli","Phylloscopus bonelli (Vieillot, 1819)","2493070","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus bonelli","Phylloscopus bonelli","(Vieillot, 1819) ","2493070",
,"Phylloscopus collybita","Phylloscopus collybita (Vieillot, 1817)","2493091","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Phylloscopidae","Phylloscopus","Phylloscopus collybita","Phylloscopus collybita","(Vieillot, 1817) ","2493091",
,"Prunella modularis","Prunella modularis (Linnaeus, 1758)","5231763","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Prunellidae","Prunella","Prunella modularis","Prunella modularis","(Linnaeus, 1758) ","5231763",
,"Regulus ignicapilla","Regulus ignicapilla (Temminck, 1820)","6093527","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus ignicapilla","Regulus ignicapilla","(Temminck, 1820) ","6093527",
,"Regulus regulus","Regulus regulus (Linnaeus, 1758)","2484596","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Regulidae","Regulus","Regulus regulus","Regulus regulus","(Linnaeus, 1758) ","2484596",
,"Sitta europaea","Sitta europaea Linnaeus, 1758","2484916","EXACT","100","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Passeriformes","Sittidae","Sitta","Sitta europaea","Sitta europaea","Linnaeus, 1758","2484916",
