Rhipidura fuliginosa
Rhipidura rufifrons
Sericornis frontalis
Zoothera lunulata
Zosterops lateralis
Acanthiza chrysorrhoa
Acanthorhynchus superciliosus
Acanthiza apicalis
Acanthiza inornata
Anthochaera chrysoptera
Artamus cyanopterus
Climacteris rufus
Colluricincla harmonica
Daphoenositta chrysoptera
Eopsaltria griseogularis
Gerygone fusca
Lichenostomus ornatus
Lichmera indistincta
Malurus pulcherrimus
Malurus splendens
Melanodryas cucullata
Melithreptus lunatus
Microeca fascinans
Myiagra inquieta
Pachycephala pectoralis
Pachycephala rufiventris
Pardalotus striatus
Petroica multicolor
Phylidonyris novaehollandiae
Pomatostomus superciliosus
Rhipidura fuliginosa
Rhipidura leucophrys
Sericornis frontalis
Smicrornis brevirostris
Strepera versicolor
Zosterops lateralis
Acanthagenys rufogularis
Acanthiza apicalis
Acanthiza chrysorrhoa
Acanthiza robustirostris
Acanthiza uropygialis
Aphelocephala leucopsis
Climacteris affinis
Colluricincla harmonica
Daphoenositta chrysoptera
Epthianura tricolor
Gerygone fusca
Malurus splendens
Melanodryas cucullata
Lichenostomus virescens
Oreoica gutturalis
Pachycephala rufiventris
Petroica goodenovii
Pomatostomus superciliosus
Rhipidura fuliginosa
Rhipidura leucophrys
Taeniopygia guttata
Malurus cyaneus
Sericornis frontalis
Petroica multicolor
Melanodryas vittata
Petroica phoenicea
Colluricincla harmonica
Melithreptus validirostris
Pardalotus striatus
Acanthiza ewingii
Acanthiza pusilla
Pachycephala pectoralis
Rhipidura fuliginosa
Acanthiza reguloides
Acanthiza lineata
Acanthiza nana
Smicrornis brevirostris
Gerygone olivacea
Aegithalos caudatus
Certhia brachydactyla
Certhia familiaris
Carduelis chloris
Coccothraustes coccothraustes
Parus caeruleus
Dendrocopos major
Dendrocopos medius
Dryocopus martius
Erithacus rubecula
Ficedula albicollis
Ficedula hypoleuca
Fringilla coelebs
Muscicapa striata
Oriolus oriolus
Parus major
Phoenicurus phoenicurus
Phylloscopus collybita
Phylloscopus sibilatrix
Parus palustris
Sitta europaea
Sturnus vulgaris
Sylvia atricapilla
Sylvia borin
Troglodytes troglodytes
Turdus merula
Turdus philomelos
Turdus viscivorus
