Sp_eBird,Sp_BirdLife,Study,Flycatching,Gleaning,Hovering,Pouncing,Probing,Snatching,Air,Bark,Flower,Ground,Leaf,Other,N_BEH,N_SUB,continent,location,zdroj_dat,Order
Sericornis frontalis,Sericornis frontalis,RD98,0,53,0,0,0,0,0,3.18,0,48.23,2.12,0,53,53.53,Australia,Western Australia,Remes,PASSERIFORMES
Smicrornis brevirostris,Smicrornis brevirostris,RD98,0,119.25,119.25,0,0,26.5,0,39.75,0,0,225.25,0,265,265,Australia,Western Australia,Remes,PASSERIFORMES
Strepera versicolor,Strepera versicolor,RD98,0,19,0,0,0,0,0,0,0,15.01,3.99,0,19,19,Australia,Western Australia,Remes,PASSERIFORMES
Zosterops lateralis,Zosterops lateralis,RD98,0,59.28,4.68,0,14.04,0,0,27.3,0,31.98,17.94,0,78,77.22,Australia,Western Australia,Remes,PASSERIFORMES
Acanthagenys rufogularis,Acanthagenys rufogularis,RD97,0,52.47,0,0,0,0.53,0,0.53,26.5,0,25.97,0,53,53,Australia,Northern Territory,Remes,PASSERIFORMES
Acanthiza apicalis,Acanthiza apicalis,RD97,4.2,49.8,4.2,0,0,1.8,3.6,1.2,0,0,55.2,0,60,60,Australia,Northern Territory,Remes,PASSERIFORMES
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,RD97,7.44,78.12,3.72,0,0,3.72,7.44,6.51,1.86,41.85,35.34,0,93,93,Australia,Northern Territory,Remes,PASSERIFORMES
Acanthiza robustirostris,Acanthiza robustirostris,RD97,0,71.82,17.29,0,0,43.89,0,18.62,0,0,114.38,0,133,133,Australia,Northern Territory,Remes,PASSERIFORMES
Acanthiza uropygialis,Acanthiza uropygialis,RD97,10.53,76.05,19.89,0,0,10.53,10.53,21.06,0,0,85.41,0,117,117,Australia,Northern Territory,Remes,PASSERIFORMES
Aphelocephala leucopsis,Aphelocephala leucopsis,RD97,0,128,0,0,0,0,0,0,0,126.72,1.28,0,128,128,Australia,Northern Territory,Remes,PASSERIFORMES
Climacteris affinis,Climacteris affinis,RD97,0,24,0,0,0,0,0,19.92,0,4.08,0,0,24,24,Australia,Northern Territory,Remes,PASSERIFORMES
Colluricincla harmonica,Colluricincla harmonica,RD97,0,13.92,0,0,0,2.08,0,1.92,0,0.96,13.12,0,16,16,Australia,Northern Territory,Remes,PASSERIFORMES
Daphoenositta chrysoptera,Daphoenositta chrysoptera,RD97,0,43,0,0,0,0,0,35.26,0,0.86,6.88,0,43,43,Australia,Northern Territory,Remes,PASSERIFORMES
Epthianura tricolor,Epthianura tricolor,RD97,2.59,243.46,7.77,0,0,5.18,2.59,0,0,212.38,44.03,0,259,259,Australia,Northern Territory,Remes,PASSERIFORMES
Gerygone fusca,Gerygone fusca,RD97,5.1,49.3,13.6,0,0,17,5.1,4.25,0,0,75.65,0,85,85,Australia,Northern Territory,Remes,PASSERIFORMES
Malurus splendens,Malurus splendens,RD97,1.6,147.2,0,0,0,11.2,1.6,1.6,0,110.4,46.4,0,160,160,Australia,Northern Territory,Remes,PASSERIFORMES
Melanodryas cucullata,Melanodryas cucullata,RD97,1.16,8.12,1.16,40.6,0,6.96,1.16,1.16,0,48.72,6.96,0,58,58,Australia,Northern Territory,Remes,PASSERIFORMES
Gavicalis virescens,Lichenostomus virescens,RD97,0,73.26,0,0,0,0.74,0,2.96,45.88,0,25.16,0,74,74,Australia,Northern Territory,Remes,PASSERIFORMES
Oreoica gutturalis,Oreoica gutturalis,RD97,0,16,0,0,0,0,0,0,0,8,8,0,16,16,Australia,Northern Territory,Remes,PASSERIFORMES
Pachycephala rufiventris,Pachycephala rufiventris,RD97,0,49.08,4.74,3.1,0,37.08,0,8.12,0,8.06,77.82,0,94,94,Australia,Northern Territory,Remes,PASSERIFORMES
Petroica goodenovii,Petroica goodenovii,RD97,3,3,8,78,0,8,3,6,0,78,13,0,100,100,Australia,Northern Territory,Remes,PASSERIFORMES
Pomatostomus superciliosus,Pomatostomus superciliosus,RD97,0,69,0,0,0,0,0,22.77,10.35,31.05,4.83,0,69,69,Australia,Northern Territory,Remes,PASSERIFORMES
Rhipidura fuliginosa,Rhipidura fuliginosa,RD97,10.08,0,0.96,0,0,0.96,10.08,0,0,0,1.92,0,12,12,Australia,Northern Territory,Remes,PASSERIFORMES
Rhipidura leucophrys,Rhipidura leucophrys,RD97,7.92,36.08,0,0,0,0,7.92,0,0,36.08,0,0,44,44,Australia,Northern Territory,Remes,PASSERIFORMES
Taeniopygia guttata,Taeniopygia guttata,RD97,0,934,0,0,0,0,0,0,0,934,0,0,934,934,Australia,Northern Territory,Remes,PASSERIFORMES
Malurus cyaneus,Malurus cyaneus,Cale94,1.2,45.6,1.2,0,0,12,1.2,6,0,25.8,27,0,60,60,Australia,Tasmania,Remes,PASSERIFORMES
Sericornis frontalis,Sericornis frontalis,Cale94,1.98,59.4,0,0,32.67,5.94,1.98,21.78,0,60.39,15.84,0,99.99,99.99,Australia,Tasmania,Remes,PASSERIFORMES
Petroica multicolor,Petroica multicolor,Cale94,8.16,3.06,1.02,17.34,0,21.42,8.16,15.3,0,17.34,10.2,0,51,51,Australia,Tasmania,Remes,PASSERIFORMES
Melanodryas vittata,Melanodryas vittata,Cale94,7.2,0.9,0,7.2,6.9,7.8,7.2,14.7,0,7.2,0.9,0,30,30,Australia,Tasmania,Remes,PASSERIFORMES
Petroica phoenicea,Petroica phoenicea,Cale94,0,63,0,0,0,0,0,23.94,0,22.05,17.01,0,63,63,Australia,Tasmania,Remes,PASSERIFORMES
Colluricincla harmonica,Colluricincla harmonica,Cale94,2.07,26.91,0,0,36.57,3.45,2.07,60.03,0,2.76,4.14,0,69,69,Australia,Tasmania,Remes,PASSERIFORMES
