Sp_BirdLife,birdtree_taxonomy,Passeriformes
Megalaima_viridis,Megalaima_viridis,NONPASSERIFORMES
Iole_indica,Iole_indica,PASSERIFORMES
Acanthiza_lineata,Acanthiza_lineata,PASSERIFORMES
Acanthiza_nana,Acanthiza_nana,PASSERIFORMES
Acanthiza_pusilla,Acanthiza_pusilla,PASSERIFORMES
Acanthiza_reguloides,Acanthiza_reguloides,PASSERIFORMES
Anthochaera_carunculata,Anthochaera_carunculata,PASSERIFORMES
Colluricincla_harmonica,Colluricincla_harmonica,PASSERIFORMES
Cormobates_leucophaea,Cormobates_leucophaea,PASSERIFORMES
Gymnorhina_tibicen,Gymnorhina_tibicen,PASSERIFORMES
Daphoenositta_chrysoptera,Daphoenositta_chrysoptera,PASSERIFORMES
Entomyzon_cyanotis,Entomyzon_cyanotis,PASSERIFORMES
Eopsaltria_australis,Eopsaltria_australis,PASSERIFORMES
Lichenostomus_fuscus,Lichenostomus_fuscus,PASSERIFORMES
Lichenostomus_chrysops,Lichenostomus_chrysops,PASSERIFORMES
Lichenostomus_leucotis,Lichenostomus_leucotis,PASSERIFORMES
Lichenostomus_melanops,Lichenostomus_melanops,PASSERIFORMES
Lichenostomus_penicillatus,Lichenostomus_penicillatus,PASSERIFORMES
Manorina_melanocephala,Manorina_melanocephala,PASSERIFORMES
Melithreptus_albogularis,Melithreptus_albogularis,PASSERIFORMES
Melithreptus_brevirostris,Melithreptus_brevirostris,PASSERIFORMES
Melithreptus_lunatus,Melithreptus_lunatus,PASSERIFORMES
Myzomela_sanguinolenta,Myzomela_sanguinolenta,PASSERIFORMES
Pachycephala_rufiventris,Pachycephala_rufiventris,PASSERIFORMES
Pardalotus_punctatus,Pardalotus_punctatus,PASSERIFORMES
Pardalotus_striatus,Pardalotus_striatus,PASSERIFORMES
Philemon_citreogularis,Philemon_citreogularis,PASSERIFORMES
Philemon_corniculatus,Philemon_corniculatus,PASSERIFORMES
Phylidonyris_novaehollandiae,Phylidonyris_novaehollandiae,PASSERIFORMES
Sericornis_frontalis,Sericornis_frontalis,PASSERIFORMES
Smicrornis_brevirostris,Smicrornis_brevirostris,PASSERIFORMES
Strepera_graculina,Strepera_graculina,PASSERIFORMES
Artamus_cyanopterus,Artamus_cyanopterus,PASSERIFORMES
Artamus_superciliosus,Artamus_superciliosus,PASSERIFORMES
Coracina_novaehollandiae,Coracina_novaehollandiae,PASSERIFORMES
Falcunculus_frontatus,Falcunculus_frontatus,PASSERIFORMES
Gerygone_olivacea,Gerygone_olivacea,PASSERIFORMES
Myiagra_inquieta,Myiagra_inquieta,PASSERIFORMES
Chthonicola_sagittatus,Chthonicola_sagittatus,PASSERIFORMES
Climacteris_erythrops,Climacteris_erythrops,PASSERIFORMES
Menura_novaehollandiae,Menura_novaehollandiae,PASSERIFORMES
Monarcha_melanopsis,Monarcha_melanopsis,PASSERIFORMES
Myiagra_cyanoleuca,Myiagra_cyanoleuca,PASSERIFORMES
Petroica_phoenicea,Petroica_phoenicea,PASSERIFORMES
Petroica_rosea,Petroica_rosea,PASSERIFORMES
Phylidonyris_pyrrhopterus,Phylidonyris_pyrrhopterus,PASSERIFORMES
Zoothera_lunulata,Zoothera_lunulata,PASSERIFORMES
Acanthorhynchus_superciliosus,Acanthorhynchus_superciliosus,PASSERIFORMES
Acanthiza_apicalis,Acanthiza_apicalis,PASSERIFORMES
Acanthiza_inornata,Acanthiza_inornata,PASSERIFORMES
Anthochaera_chrysoptera,Anthochaera_chrysoptera,PASSERIFORMES
Climacteris_rufus,Climacteris_rufus,PASSERIFORMES
Eopsaltria_griseogularis,Eopsaltria_griseogularis,PASSERIFORMES
Gerygone_fusca,Gerygone_fusca,PASSERIFORMES
Lichenostomus_ornatus,Lichenostomus_ornatus,PASSERIFORMES
Malurus_pulcherrimus,Malurus_pulcherrimus,PASSERIFORMES
Malurus_splendens,Malurus_splendens,PASSERIFORMES
Strepera_versicolor,Strepera_versicolor,PASSERIFORMES
Acanthagenys_rufogularis,Acanthagenys_rufogularis,PASSERIFORMES
Acanthiza_robustirostris,Acanthiza_robustirostris,PASSERIFORMES
Climacteris_affinis,Climacteris_affinis,PASSERIFORMES
Epthianura_tricolor,Epthianura_tricolor,PASSERIFORMES
Lichenostomus_virescens,Lichenostomus_virescens,PASSERIFORMES
Oreoica_gutturalis,Oreoica_gutturalis,PASSERIFORMES
Taeniopygia_guttata,Taeniopygia_guttata,PASSERIFORMES
Melanodryas_vittata,Melanodryas_vittata,PASSERIFORMES
Melithreptus_validirostris,Melithreptus_validirostris,PASSERIFORMES
Acanthiza_ewingii,Acanthiza_ewingii,PASSERIFORMES
Certhia_familiaris,Certhia_familiaris,PASSERIFORMES
Carduelis_chloris,Carduelis_chloris,PASSERIFORMES
Coccothraustes_coccothraustes,Coccothraustes_coccothraustes,PASSERIFORMES
Dendrocopos_medius,Dendrocopos_medius,NONPASSERIFORMES
Dryocopus_martius,Dryocopus_martius,NONPASSERIFORMES
Ficedula_albicollis,Ficedula_albicollis,PASSERIFORMES
Muscicapa_striata,Muscicapa_striata,PASSERIFORMES
Oriolus_oriolus,Oriolus_oriolus,PASSERIFORMES
Phoenicurus_phoenicurus,Phoenicurus_phoenicurus,PASSERIFORMES
Phylloscopus_sibilatrix,Phylloscopus_sibilatrix,PASSERIFORMES
Parus_palustris,Parus_palustris,PASSERIFORMES
Sturnus_vulgaris,Sturnus_vulgaris,PASSERIFORMES
